Label,Name,Type
T1578.004,Revert Cloud Instance,Subtechnique
T1112,Modify Registry,Technique
T1601,Modify System Image,Technique
T1601.001,Patch System Image,Subtechnique
T1601.002,Downgrade System Image,Subtechnique
T1599,Network Boundary Bridging,Technique
T1599.001,Network Address Translation Traversal,Subtechnique
T1027,Obfuscated Files or Information,Technique
T1027.001,Binary Padding,Subtechnique
T1027.002,Software Packing,Subtechnique
T1027.003,Steganography,Subtechnique
T1027.004,Compile After Delivery,Subtechnique
T1027.005,Indicator Removal from Tools,Subtechnique
T1027.006,HTML Smuggling,Subtechnique
T1647,Plist File Modification,Technique
T1620,Reflective Code Loading,Technique
T1207,Rogue Domain Controller,Technique
T1014,Rootkit,Technique
T1553,Subvert Trust Controls,Technique
T1553.001,Gatekeeper Bypass,Subtechnique
T1553.002,Code Signing,Subtechnique
T1553.003,SIP and Trust Provider Hijacking,Subtechnique
T1553.004,Install Root Certificate,Subtechnique
T1553.005,Mark-of-the-Web Bypass,Subtechnique
T1553.006,Code Signing Policy Modification,Subtechnique
T1218,System Binary Proxy Execution,Technique
T1218.001,Compiled HTML File,Subtechnique
T1218.002,Control Panel,Subtechnique
T1218.003,CMSTP,Subtechnique
T1218.004,InstallUtil,Subtechnique
T1218.005,Mshta,Subtechnique
T1218.007,Msiexec,Subtechnique
T1218.008,Odbcconf,Subtechnique
T1218.009,Regsvcs/Regasm,Subtechnique
T1218.010,Regsvr32,Subtechnique
T1218.011,Rundll32,Subtechnique
T1218.012,Verclsid,Subtechnique
T1218.013,Mavinject,Subtechnique
T1218.014,MMC,Subtechnique
T1216,System Script Proxy Execution,Technique
T1216.001,PubPrn,Subtechnique
T1221,Template Injection,Technique
T1127,Trusted Developer Utilities Proxy Execution,Technique
T1127.001,MSBuild,Subtechnique
T1535,Unused/Unsupported Cloud Regions,Technique
T1550,Use Alternate Authentication Material,Technique
T1550.001,Application Access Token,Subtechnique
T1550.002,Pass the Hash,Subtechnique
T1550.003,Pass the Ticket,Subtechnique
T1550.004,Web Session Cookie,Subtechnique
T1497,Virtualization/Sandbox Evasion,Technique
T1497.001,System Checks,Subtechnique
T1497.002,User Activity Based Checks,Subtechnique
T1497.003,Time Based Evasion,Subtechnique
T1600,Weaken Encryption,Technique
T1600.001,Reduce Key Space,Subtechnique
T1600.002,Disable Crypto Hardware,Subtechnique
T1220,XSL Script Processing,Technique
TA0006,Credential Access,Tactic
T1557,Adversary-in-the-Middle,Technique
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Subtechnique
T1557.002,ARP Cache Poisoning,Subtechnique
T1557.003,DHCP Spoofing,Subtechnique
T1110,Brute Force,Technique
T1110.001,Password Guessing,Subtechnique
T1110.002,Password Cracking,Subtechnique
T1110.003,Password Spraying,Subtechnique
T1110.004,Credential Stuffing,Subtechnique
T1555,Credentials from Password Stores,Technique
T1555.001,Keychain,Subtechnique
T1555.002,Securityd Memory,Subtechnique
T1555.003,Credentials from Web Browsers,Subtechnique
T1555.004,Windows Credential Manager,Subtechnique
T1555.005,Password Managers,Subtechnique
T1212,Exploitation for Credential Access,Technique
T1187,Forced Authentication,Technique
T1606,Forge Web Credentials,Technique
T1606.001,Web Cookies,Subtechnique
T1606.002,SAML Tokens,Subtechnique
T1056,Input Capture,Technique
T1056.001,Keylogging,Subtechnique
T1056.002,GUI Input Capture,Subtechnique
T1056.003,Web Portal Capture,Subtechnique
T1056.004,Credential API Hooking,Subtechnique
T1111,Multi-Factor Authentication Interception,Technique
T1621,Multi-Factor Authentication Request Generation,Technique
T1040,Network Sniffing,Technique
T1003,OS Credential Dumping,Technique
T1003.001,LSASS Memory,Subtechnique
T1003.002,Security Account Manager,Subtechnique
T1003.003,NTDS,Subtechnique
T1003.004,LSA Secrets,Subtechnique
T1003.005,Cached Domain Credentials,Subtechnique
T1003.006,DCSync,Subtechnique
T1003.007,Proc Filesystem,Subtechnique
T1003.008,/etc/passwd and /etc/shadow,Subtechnique
T1528,Steal Application Access Token,Technique
T1558,Steal or Forge Kerberos Tickets,Technique
T1558.001,Golden Ticket,Subtechnique
T1558.002,Silver Ticket,Subtechnique
T1558.003,Kerberoasting,Subtechnique
T1558.004,AS-REP Roasting,Subtechnique
T1539,Steal Web Session Cookie,Technique
T1552,Unsecured Credentials,Technique
T1552.001,Credentials In Files,Subtechnique
T1552.002,Credentials in Registry,Subtechnique
T1552.003,Bash History,Subtechnique
T1552.004,Private Keys,Subtechnique
T1552.005,Cloud Instance Metadata API,Subtechnique
T1552.006,Group Policy Preferences,Subtechnique
T1552.007,Container API,Subtechnique
TA0007,Discovery,Tactic
T1087,Account Discovery,Technique
T1087.001,Local Account,Subtechnique
T1087.002,Domain Account,Subtechnique
T1087.003,Email Account,Subtechnique
T1087.004,Cloud Account,Subtechnique
T1010,Application Window Discovery,Technique
T1217,Browser Bookmark Discovery,Technique
T1580,Cloud Infrastructure Discovery,Technique
T1538,Cloud Service Dashboard,Technique
T1526,Cloud Service Discovery,Technique
T1619,Cloud Storage Object Discovery,Technique
T1613,Container and Resource Discovery,Technique
T1482,Domain Trust Discovery,Technique
T1083,File and Directory Discovery,Technique
T1615,Group Policy Discovery,Technique
T1046,Network Service Discovery,Technique
T1135,Network Share Discovery,Technique
T1201,Password Policy Discovery,Technique
T1120,Peripheral Device Discovery,Technique
T1069,Permission Groups Discovery,Technique
T1069.001,Local Groups,Subtechnique
T1069.002,Domain Groups,Subtechnique
T1069.003,Cloud Groups,Subtechnique
T1057,Process Discovery,Technique
T1012,Query Registry,Technique
T1018,Remote System Discovery,Technique
T1518,Software Discovery,Technique
T1518.001,Security Software Discovery,Subtechnique
T1082,System Information Discovery,Technique
T1614,System Location Discovery,Technique
T1614.001,System Language Discovery,Subtechnique
T1016,System Network Configuration Discovery,Technique
T1016.001,Internet Connection Discovery,Subtechnique
T1049,System Network Connections Discovery,Technique
T1033,System Owner/User Discovery,Technique
T1007,System Service Discovery,Technique
T1124,System Time Discovery,Technique
TA0008,Lateral Movement,Tactic
T1210,Exploitation of Remote Services,Technique
T1534,Internal Spearphishing,Technique
T1570,Lateral Tool Transfer,Technique
T1563,Remote Service Session Hijacking,Technique
T1563.001,SSH Hijacking,Subtechnique
T1563.002,RDP Hijacking,Subtechnique
T1021,Remote Services,Technique
T1021.001,Remote Desktop Protocol,Subtechnique
T1021.002,SMB/Windows Admin Shares,Subtechnique
T1021.003,Distributed Component Object Model,Subtechnique
T1021.004,SSH,Subtechnique
T1021.005,VNC,Subtechnique
T1021.006,Windows Remote Management,Subtechnique
T1080,Taint Shared Content,Technique
TA0009,Collection,Tactic
T1560,Archive Collected Data,Technique
T1560.001,Archive via Utility,Subtechnique
T1560.002,Archive via Library,Subtechnique
T1560.003,Archive via Custom Method,Subtechnique
T1123,Audio Capture,Technique
T1119,Automated Collection,Technique
T1185,Browser Session Hijacking,Technique
T1115,Clipboard Data,Technique
T1530,Data from Cloud Storage Object,Technique
T1602,Data from Configuration Repository,Technique
T1602.001,SNMP (MIB Dump),Subtechnique
T1602.002,Network Device Configuration Dump,Subtechnique
T1213,Data from Information Repositories,Technique
T1213.001,Confluence,Subtechnique
T1213.002,Sharepoint,Subtechnique
T1213.003,Code Repositories,Subtechnique
T1005,Data from Local System,Technique
T1039,Data from Network Shared Drive,Technique
T1025,Data from Removable Media,Technique
T1074,Data Staged,Technique
T1074.001,Local Data Staging,Subtechnique
T1074.002,Remote Data Staging,Subtechnique
T1114,Email Collection,Technique
T1114.001,Local Email Collection,Subtechnique
T1114.002,Remote Email Collection,Subtechnique
T1114.003,Email Forwarding Rule,Subtechnique
T1113,Screen Capture,Technique
T1125,Video Capture,Technique
TA0011,Command and Control,Tactic
T1071,Application Layer Protocol,Technique
T1071.001,Web Protocols,Subtechnique
T1071.002,File Transfer Protocols,Subtechnique
T1071.003,Mail Protocols,Subtechnique
T1071.004,DNS,Subtechnique
T1092,Communication Through Removable Media,Technique
T1132,Data Encoding,Technique
T1132.001,Standard Encoding,Subtechnique
T1132.002,Non-Standard Encoding,Subtechnique
T1001,Data Obfuscation,Technique
T1001.001,Junk Data,Subtechnique
T1001.002,Steganography,Subtechnique
T1001.003,Protocol Impersonation,Subtechnique
T1568,Dynamic Resolution,Technique
T1568.001,Fast Flux DNS,Subtechnique
T1568.002,Domain Generation Algorithms,Subtechnique
T1568.003,DNS Calculation,Subtechnique
T1573,Encrypted Channel,Technique
T1573.001,Symmetric Cryptography,Subtechnique
T1573.002,Asymmetric Cryptography,Subtechnique
T1008,Fallback Channels,Technique
T1105,Ingress Tool Transfer,Technique
T1104,Multi-Stage Channels,Technique
T1095,Non-Application Layer Protocol,Technique
T1571,Non-Standard Port,Technique
T1572,Protocol Tunneling,Technique
T1090,Proxy,Technique
T1090.001,Internal Proxy,Subtechnique
T1090.002,External Proxy,Subtechnique
T1090.003,Multi-hop Proxy,Subtechnique
T1090.004,Domain Fronting,Subtechnique
T1219,Remote Access Software,Technique
T1102,Web Service,Technique
T1102.001,Dead Drop Resolver,Subtechnique
T1102.002,Bidirectional Communication,Subtechnique
T1102.003,One-Way Communication,Subtechnique
TA0010,Exfiltration,Tactic
T1020,Automated Exfiltration,Technique
T1020.001,Traffic Duplication,Subtechnique
T1030,Data Transfer Size Limits,Technique
T1048,Exfiltration Over Alternative Protocol,Technique
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Subtechnique
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Subtechnique
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Subtechnique
T1041,Exfiltration Over C2 Channel,Technique
T1011,Exfiltration Over Other Network Medium,Technique
T1011.001,Exfiltration Over Bluetooth,Subtechnique
T1052,Exfiltration Over Physical Medium,Technique
T1052.001,Exfiltration over USB,Subtechnique
T1567,Exfiltration Over Web Service,Technique
T1567.001,Exfiltration to Code Repository,Subtechnique
T1567.002,Exfiltration to Cloud Storage,Subtechnique
T1029,Scheduled Transfer,Technique
T1537,Transfer Data to Cloud Account,Technique
TA0040,Impact,Tactic
T1531,Account Access Removal,Technique
T1485,Data Destruction,Technique
T1486,Data Encrypted for Impact,Technique
T1565,Data Manipulation,Technique
T1565.001,Stored Data Manipulation,Subtechnique
T1565.002,Transmitted Data Manipulation,Subtechnique
T1565.003,Runtime Data Manipulation,Subtechnique
T1491,Defacement,Technique
T1491.001,Internal Defacement,Subtechnique
T1491.002,External Defacement,Subtechnique
T1561,Disk Wipe,Technique
T1561.001,Disk Content Wipe,Subtechnique
T1561.002,Disk Structure Wipe,Subtechnique
T1499,Endpoint Denial of Service,Technique
T1499.001,OS Exhaustion Flood,Subtechnique
T1499.002,Service Exhaustion Flood,Subtechnique
T1499.003,Application Exhaustion Flood,Subtechnique
T1499.004,Application or System Exploitation,Subtechnique
T1495,Firmware Corruption,Technique
T1490,Inhibit System Recovery,Technique
T1498,Network Denial of Service,Technique
T1498.001,Direct Network Flood,Subtechnique
T1498.002,Reflection Amplification,Subtechnique
T1496,Resource Hijacking,Technique
T1489,Service Stop,Technique
T1529,System Shutdown/Reboot,Technique
